,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)",,rate
3436,0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2015,1071,5377,56569,315312,,0.026340905
3581,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2010,17877,263022,2789622,12276442,,47.91612423
3476,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2011,17874,267837,3003815,12803698,,0.018306453
3497,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2012,18115,274147,3174524,13039471,,0.023559105
3518,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2013,18277,275283,3164692,13109161,,0.004143762
3539,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2014,18332,281447,3407865,13984085,,0.022391503
3560,0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2015,18453,282412,3373677,14334286,,0.003428709
3705,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2010,1590,19387,160618,693851,,-0.931352067
3602,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2011,1571,19931,170041,706656,,0.02806004
3623,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2012,1603,19425,170873,704523,,-0.025387587
3643,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2013,1584,19917,182588,764821,,0.025328185
3663,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2014,1579,19620,185929,765384,,-0.014911884
3684,0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2015,1582,20104,189920,812431,,0.024668705
3831,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2010,9709,163812,1522527,6441395,,7.148229208
3726,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2011,9652,163486,1583392,6568817,,-0.001990086
3747,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2012,9683,164298,1673963,6848525,,0.004966786
3768,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2013,9661,167480,1758012,7061406,,0.019367247
3789,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2014,9669,166806,1819397,7292607,,-0.004024361
3810,0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2015,9600,167383,1790345,7434306,,0.003459108
3957,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2010,3541,55180,391439,1685698,,-0.670336892
3852,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2011,3459,55451,401744,1707993,,0.0049112
3873,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2012,3510,56979,436817,1789208,,0.02755586
3894,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2013,3562,57927,442526,1837037,,0.016637709
3915,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2014,3548,58693,454650,1915668,,0.01322354
3936,0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2015,3576,60573,493104,2044461,,0.032031077
4083,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2010,42001,791554,12059953,50873266,,12.06776947
3978,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2011,41961,802736,13202084,53710684,,0.014126642
3999,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2012,42454,821275,14220076,56173092,,0.023094766
4020,0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2013,42830,844090,14708562,58326731,,0.027779976
