ïgeographicidentifiercode,id2,geographicareaname,naicscode,meaningof2007naicscode,year,numberofestablishments,receipts1000,v9
0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2011,16944,909975,0.037052275
0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2011,13190,709988,0.06225678
0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2011,56187,2867082,0.043814945
0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2011,15891,742002,0.036805084
0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2011,9379,429759,0.049459714
0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2011,6630,281784,0.02450517
0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2011,6268,267991,0.012146162
0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2011,4324,170929,0.052434226
0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2011,25629,1309665,0.052020879
0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2011,2465,84116,0.031073412
0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2011,7396,297594,0.018432076
0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2011,8471,306338,-0.009220897
0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2011,5735,262005,0.063426929
0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2011,4702,168556,-0.038218814
0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2011,4341,151687,-0.019964207
0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2011,9296,338739,-0.006382823
0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2011,1310,42022,-0.034664951
0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2011,3206,115558,0.061343326
0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2011,3414,115588,0.016551457
0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2011,3779,127578,0.007446598
0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2011,3845,145289,0.002650012
0500000US23031,23031,"York County, Maine",0,Total for all sectors,2011,16319,683597,0.02464034
0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2011,24818,1211652,0.05218678
0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2011,10074,428065,-0.050855763
0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2011,30819,1416346,0.045969312
