,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
4145,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2013,934,4400,43718,263354
4165,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2014,985,4377,49268,288631
4186,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2015,996,4300,49906,310578
4207,0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2010,887,3633,35973,216729
4228,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2011,18987,312576,3798170,15537493
4249,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2012,19378,321562,4200715,16686347
4270,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2013,19597,329894,4400038,17466142
4291,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2014,19637,334197,4577287,18101007
4312,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2015,19893,340091,4603876,18770873
4333,0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2010,19033,307860,3588105,15241930
4354,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2011,11740,147825,1420510,6212970
4375,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2012,11838,151389,1521738,6522971
4396,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2013,11922,156526,1597360,6843659
4417,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2014,12020,162524,1706940,7383340
4438,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2015,12157,163503,1732424,7699004
4459,0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2010,11786,145545,1350204,6020712
4480,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2011,19436,550649,10865324,40711776
4501,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2012,19827,586037,12066678,43749823
4522,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2013,20121,588364,12111160,44920879
4543,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2014,20495,572232,12763044,45658952
4564,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2015,20896,595158,13726613,49555481
4585,0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2010,19525,556104,10410724,39422039
4606,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2011,17421,270224,2892308,12169715
4627,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2012,17646,279167,3053689,12426858
4648,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2013,17635,281520,3105977,12842832
4669,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2014,17661,283752,3220379,13250036
4690,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2015,17812,288933,3311870,13966087
4711,0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2010,17625,267175,2642564,11459203
4732,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2011,1788,20765,169955,744599
4753,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2012,1762,20350,168124,735928
4774,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2013,1763,20289,173834,773999
4795,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2014,1786,21009,186185,820827
4816,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2015,1780,21359,187701,870983
4837,0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2010,1831,20825,154042,723367
4858,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2011,1820,17152,112483,506230
4879,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2012,1833,16780,118100,517969
4900,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2013,1834,16624,117273,524288
